id,hip,hd,hr,gl,bf,proper,dist,mag,absmag,spect,ci,x,y,z,bayer,flam,con,comp,comp_primary,base,lum,var
1797,67472,120324,5193,,Mu  Cen,,155.0388,3.47,-2.482,B2IV-Ve,-0.17,-101.522043,-52.633292,-104.690333,Mu,,Cen,1,67259,,856.6432556,Mu
1798,67480,120539,5201,,6    Boo,,123.0012,4.92,-0.53,K4III,1.432,-101.741463,-52.801922,44.608525,,6,Boo,1,67267,,141.9057522,
1799,67494,120452,5196,,89    Vir,,74.9064,4.96,0.587,K0III,1.059,-63.160729,-32.834359,-23.313996,,89,Vir,1,67281,,50.72242399,
1800,67627,121130,5226,,10    Dra,,113.8952,4.58,-0.703,M3III,1.572,-42.996051,-22.724978,102.990335,,10,Dra,1,67414,,166.4178857,CU
1801,67669,120709,5210,,3    Cen,,105.3741,4.32,-0.794,B5,-0.146,-78.066399,-41.432939,-57.38178,,3,Cen,1,67455,,180.9672555,V983
1802,67786,120955,5221,,4    Cen,,195.3125,4.75,-1.704,B4IV,-0.111,-145.949303,-78.592981,-103.290534,,4,Cen,1,67572,,418.4080196,
1803,67787,121107,5225,,7    Boo,,211.4165,5.71,-0.916,G5III,0.845,-177.097484,-95.37263,65.095632,,7,Boo,1,67573,,202.4883307,
1804,67848,121409,5238,,86    UMa,,146.8429,5.7,-0.134,A0V,-0.032,-76.373082,-41.402602,118.388227,,86,UMa,1,67634,,98.53715069,
1805,67927,121370,5235,Gl 534,8Eta Boo,Muphrid,11.396,2.68,2.396,G0IV,0.58,-9.487671,-5.188142,3.596709,Eta,8,Boo,1,67711,,9.585173977,
1806,67929,121299,5232,,90    Vir,,75.5858,5.16,0.768,K2III,1.093,-66.292365,-36.257342,-1.982725,,90,Vir,1,67713,,42.93386635,
